query_id,first_relevant_rank
EP1542239,2.0
EP1259092,152.0
EP1576883,
EP1518595,18.0
EP1442972,17.0
EP1346961,1.0
EP1553154,6.0
EP1433505,64.0
EP1696515,1.0
EP1452689,1.0
EP1361767,
EP1247811,1.0
EP1504925,31.0
EP1387495,7.0
EP1695739,16.0
EP1505267,8.0
EP1627700,7.0
EP1452853,
EP1607064,8.0
EP1411031,1.0
EP1362521,10.0
EP1234898,1.0
EP1462817,2.0
EP1555774,47.0
EP1234988,1.0
EP1285976,3.0
EP1457500,43.0
EP1772098,
EP1887060,14.0
EP1361702,8.0
EP1757951,7.0
EP1323745,27.0
EP1387550,17.0
EP1363149,
EP1517526,82.0
EP1914767,
EP1507420,97.0
EP1378842,
EP1498453,97.0
EP1229366,113.0
EP1595940,33.0
EP1348402,1.0
EP1657123,22.0
EP1628299,123.0
EP1652523,6.0
EP1477267,15.0
EP1528070,
EP1655352,18.0
EP1443285,2.0
EP1350591,27.0
EP1304027,1.0
EP1462383,254.0
EP1494281,14.0
EP1571692,90.0
EP1507287,25.0
EP1589075,
EP1705357,146.0
EP1463304,24.0
EP1359515,6.0
EP1560416,
EP1310859,19.0
EP1415962,93.0
EP1353132,184.0
EP1225393,260.0
EP1336487,116.0
EP1815978,208.0
EP1600605,1.0
EP1577736,42.0
EP1267094,14.0
EP1376666,
EP1905451,632.0
EP1479872,12.0
EP1293879,116.0
EP1324571,
EP1480130,26.0
EP1815876,116.0
EP1241694,76.0
EP1331692,3.0
EP1524107,2.0
EP1302353,2.0
EP1535637,123.0
EP1449554,1.0
EP1803577,
EP1253793,273.0
EP1348843,87.0
EP1450342,4.0
EP1300507,182.0
EP1834947,
EP1445450,114.0
EP1481645,1.0
EP1498433,65.0
EP1348466,1.0
EP1800823,6.0
EP1616790,1.0
EP1659310,34.0
EP1707065,40.0
EP1310580,
EP1580091,178.0
EP1482175,1.0
EP1617540,524.0
EP1665996,123.0
EP1514886,
EP1721630,2.0
EP1348951,74.0
EP1338872,2.0
EP1512586,1.0
EP1233540,
EP1293766,4.0
EP1743541,5.0
EP1329439,39.0
EP1274120,3.0
EP1336882,4.0
EP1374942,267.0
EP1398081,148.0
EP1394242,
EP1434015,277.0
EP1496068,1.0
EP1548184,
EP1548955,70.0
EP1378938,71.0
EP1233240,2.0
EP1380806,11.0
EP1759638,67.0
EP1361487,247.0
EP1619884,5.0
EP1626105,38.0
EP1480263,86.0
EP1847948,3.0
EP1381211,16.0
EP1462891,108.0
EP1536643,53.0
EP1591613,485.0
EP1382306,1.0
EP1639934,56.0
EP1515266,1.0
EP1675366,39.0
EP1479710,5.0
EP1406352,763.0
EP1378905,64.0
EP1306985,2.0
EP1258929,
EP1378602,22.0
EP1621423,27.0
EP1857044,1.0
EP1743801,97.0
EP1367425,23.0
EP1306026,3.0
EP1600432,1.0
EP1273492,
EP1591851,4.0
EP1628159,16.0
EP1244182,
EP1776971,44.0
EP1852810,17.0
EP1857848,
EP1653565,2.0
EP1347606,7.0
EP1912131,
EP1247959,1.0
EP1719980,63.0
EP1484296,318.0
EP1460294,
